CaseOrder,Customer_id,Interaction,City,State,County,Zip,Lat,Lng,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,item1,item2,item3,item4,item5,item6,item7,item8
1022,M302337,17ab2a57-94d5-4e88-b99b-41ea9d0c497f,Waverly,VA,Sussex,23891,37.05083,-77.21244,3408.0,Rural,America/New_York,"Pharmacist, community",1.0,70.0,Associate's Degree,Full Time,28797.05,Widowed,Male,Yes,9.79,16.0,3.0,0.0,,Month-to-month,No,Yes,DSL,Yes,Yes,No,No,No,No,No,No,No,Electronic Check,25.53,125.92,2035.86,5,4,4,6,3,4,4,4
1023,N727282,d3c825c6-75f3-4b92-8131-cf90771b9817,Ackley,IA,Hardin,50601,42.56684,-93.05642,2639.0,Rural,America/Chicago,Product manager,1.0,86.0,Regular High School Diploma,Full Time,43552.14,Divorced,Female,No,19.27,16.0,0.0,0.0,,One year,No,No,DSL,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),10.03,162.47,2220.44,5,5,5,3,5,4,4,4
1024,H279354,2d8a1ba0-ffe7-4c50-b21b-9e9336b93cbd,Telluride,CO,San Miguel,81435,37.90381,-107.86951,5278.0,Suburban,America/Denver,"Psychologist, clinical",3.0,43.0,Bachelor's Degree,Student,20917.13,Separated,Male,No,5.29,14.0,1.0,0.0,,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,No,Yes,Bank Transfer(automatic),17.11,156.91,908.68,1,2,2,3,4,2,3,2
1025,V354023,90bb7390-a51c-4861-960c-c062d7fb4386,Landisburg,PA,Perry,17040,40.3169,-77.31611,2247.0,Rural,America/New_York,"Accountant, chartered management",0.0,41.0,Master's Degree,Full Time,25312.29,Separated,Female,No,8.76,13.0,0.0,0.0,,Month-to-month,No,No,DSL,Yes,No,Yes,Yes,No,Yes,No,No,No,Credit Card (automatic),18.33,129.76,2329.84,4,4,4,5,3,5,3,4
1026,N326688,127db5c6-7edf-4464-9f72-701e8b85c706,Bunker Hill,WV,Berkeley,25413,39.31618,-78.05299,8431.0,Urban,America/New_York,Lawyer,0.0,59.0,"9th Grade to 12th Grade, No Diploma",Full Time,40787.88,Separated,Female,No,4.44,10.0,3.0,0.0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Bank Transfer(automatic),18.29,170.99,1714.19,4,3,3,4,3,4,5,3
1027,D816425,7482f6e9-a810-46e5-8c2a-cfc7ed9c3428,Franklin,AR,Izard,72536,36.14713,-91.7672,415.0,Rural,America/Chicago,"Psychologist, occupational",0.0,89.0,Regular High School Diploma,Full Time,77269.05,Divorced,Female,Yes,11.43,9.0,0.0,1.0,Yes,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Credit Card (automatic),12.43,150.65,1086.63,3,5,3,2,5,2,3,3
1028,J775742,4c671c8f-faaa-499a-b9da-0be05efe9784,Harpersfield,NY,Delaware,13786,42.44136,-74.69463,384.0,Rural,America/New_York,Rural practice surveyor,4.0,36.0,"9th Grade to 12th Grade, No Diploma",Part Time,35357.64,Separated,Female,Yes,9.13,13.0,1.0,1.0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,No,Yes,No,Mailed Check,4.3,180.63,682.91,5,4,5,5,3,4,4,3
1029,W667533,eae97b44-8dee-4dc1-94cd-52486bd85e9f,Dupo,IL,St. Clair,62239,38.52569,-90.18737,4715.0,Urban,America/Chicago,"Biochemist, clinical",3.0,71.0,Regular High School Diploma,Full Time,9033.82,Divorced,Female,No,4.1,12.0,1.0,0.0,No,Two Year,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Electronic Check,9.54,180.69,1078.0,2,1,1,3,3,2,3,2
1030,C717657,8dedd2aa-87ae-471a-a1f2-f4153f7da6ca,Delray Beach,FL,Palm Beach,33444,26.45817,-80.07997,23770.0,Suburban,America/New_York,Airline pilot,1.0,20.0,Regular High School Diploma,Full Time,50934.88,Widowed,Female,No,8.74,9.0,1.0,0.0,,Two Year,No,No,DSL,,No,Yes,No,No,,Yes,No,No,Mailed Check,6.34,131.91,1333.03,3,3,4,3,4,3,4,4
1031,G715462,359d5575-c974-416b-8513-b9d13a7b2591,San Antonio,TX,Bexar,78225,29.38799,-98.52602,13915.0,Suburban,America/Chicago,"Designer, textile",5.0,62.0,Bachelor's Degree,Full Time,17188.93,Separated,Male,Yes,9.06,11.0,1.0,0.0,Yes,One year,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Electronic Check,4.97,288.27,1277.11,4,3,4,4,3,4,4,3
1032,K309886,6e221dc0-43eb-442b-8c50-ae729699d4b9,Yeoman,IN,Carroll,47997,40.66769,-86.72359,118.0,Urban,America/Indiana/Indianapolis,Television floor manager,2.0,66.0,Regular High School Diploma,Full Time,41641.08,Separated,Female,No,6.42,6.0,0.0,0.0,No,One year,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Electronic Check,5.38,161.19,1312.9,4,4,4,2,5,3,3,4
1033,E777441,f27e25f4-92cc-48d8-9579-5dcf00cf06a7,San Diego,CA,San Diego,92121,32.89918,-117.20233,4655.0,Suburban,America/Los_Angeles,Set designer,0.0,38.0,"Some College, 1 or More Years, No Degree",Part Time,14562.52,Divorced,Male,No,13.37,11.0,1.0,1.0,No,Two Year,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,No,No,No,Bank Transfer(automatic),11.67,141.26,1638.78,3,3,2,4,4,2,3,2
1034,K797257,d202cf36-5f6e-4777-b205-7953fd0d93b7,Stottville,NY,Columbia,12172,42.28913,-73.73955,271.0,Rural,America/New_York,Nutritional therapist,7.0,55.0,Bachelor's Degree,Full Time,53393.92,Never Married,Female,No,10.67,7.0,0.0,1.0,,Two Year,No,No,Fiber Optic,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Electronic Check,24.72,178.92,2267.24,2,2,4,4,4,2,4,3
1035,K105167,4ca0e08a-fef9-4d49-8b32-8a1badfee22f,Harper,TX,Gillespie,78631,30.33775,-99.3053,2856.0,Suburban,America/Chicago,"Programmer, multimedia",2.0,43.0,Associate's Degree,Full Time,55625.04,Never Married,Male,Yes,5.97,8.0,1.0,2.0,No,Month-to-month,No,No,Fiber Optic,,No,No,No,Yes,Yes,No,Yes,Yes,Mailed Check,4.35,172.2,680.56,4,4,4,3,5,3,3,3
1036,W968177,3f442ab9-457e-443d-9bc2-90e95fa559ea,Grantville,PA,Dauphin,17028,40.39418,-76.65824,3879.0,Suburban,America/New_York,Training and development officer,1.0,52.0,"Some College, 1 or More Years, No Degree",Full Time,6904.02,Married,Female,No,13.36,14.0,0.0,0.0,,Month-to-month,Yes,No,None,Yes,No,Yes,No,No,No,No,No,Yes,Credit Card (automatic),10.11,82.17,923.42,3,3,2,3,3,4,3,4
1037,Y247582,52b0ef1b-978e-417b-a638-55e3399dfbea,Kettle Falls,WA,Stevens,99141,48.73766,-118.14452,5081.0,Suburban,America/Los_Angeles,Illustrator,1.0,89.0,Bachelor's Degree,Retired,34434.44,Separated,Female,No,9.32,11.0,0.0,0.0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,No,No,No,No,Bank Transfer(automatic),10.52,123.8,1587.83,3,3,3,6,3,3,3,4
1038,B586243,2ebe5ffd-24ec-4e0f-88ec-bc1115809872,Independence,KY,Kenton,41051,38.93398,-84.545,30166.0,Rural,America/New_York,"Designer, exhibition/display",1.0,84.0,"Some College, 1 or More Years, No Degree",Full Time,37946.38,Separated,Female,No,12.43,11.0,0.0,1.0,No,Two Year,Yes,No,DSL,Yes,Yes,No,No,No,No,No,No,Yes,Electronic Check,21.83,124.08,565.46,4,4,4,3,4,4,4,4
1039,L93551,d30bc61f-c4ba-480a-907f-55458c1f8aa2,Salisbury,MA,Essex,1952,42.84654,-70.86162,9227.0,Rural,America/New_York,Armed forces training and education officer,3.0,36.0,"Some College, 1 or More Years, No Degree",Full Time,67235.07,Divorced,Male,No,10.61,11.0,1.0,0.0,No,Two Year,No,No,DSL,No,No,Yes,Yes,Yes,No,No,No,No,Bank Transfer(automatic),2.61,127.82,1097.51,2,3,4,4,3,2,3,4
1040,J582916,2585517a-73cc-479a-bb51-f2e35b1581b6,Crystal,ND,Pembina,58222,48.61521,-97.68156,304.0,Suburban,America/Chicago,Location manager,5.0,60.0,"Some College, Less than 1 Year",Full Time,71849.6,Divorced,Male,Yes,14.17,15.0,0.0,0.0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),13.09,223.4,1945.44,4,3,3,3,5,3,3,4
1041,M592587,3c30e69f-6ab3-4e9a-88f6-96693cabc824,Chicago,IL,Cook,60604,41.87814,-87.62837,782.0,Rural,America/Chicago,Pension scheme manager,3.0,51.0,Bachelor's Degree,Full Time,33823.17,Separated,Prefer not to answer,Yes,14.4,12.0,1.0,1.0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,No,No,,Yes,Yes,Yes,Electronic Check,3.64,255.61,933.28,5,5,4,3,4,4,4,6
1042,X207278,f5eaf831-3db0-431d-8eee-33a384779558,Loranger,LA,Tangipahoa,70446,30.62888,-90.34845,7453.0,Suburban,America/Chicago,Chief of Staff,1.0,41.0,"Some College, Less than 1 Year",Part Time,58384.68,Married,Female,Yes,9.67,6.0,1.0,0.0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,No,,No,Yes,Yes,Electronic Check,1.42,172.83,500.72,4,4,5,4,3,3,2,4
1043,O895899,a7348864-9582-48bc-a249-26e40bb76bbe,Waterville,PA,Lycoming,17776,41.40565,-77.31273,242.0,Urban,America/New_York,"Psychologist, clinical",0.0,26.0,"Some College, 1 or More Years, No Degree",Full Time,16921.75,Married,Female,No,9.88,16.0,1.0,0.0,,Month-to-month,No,Yes,None,Yes,No,No,Yes,No,No,Yes,No,No,Electronic Check,15.14,128.33,1503.12,3,3,3,6,1,5,5,3
1044,K529382,d360af71-0ddd-406c-9e5f-c76bd26cb27c,Medford,OR,Jackson,97504,42.32693,-122.79869,47645.0,Rural,America/Los_Angeles,Hydrographic surveyor,1.0,84.0,Associate's Degree,Full Time,20614.28,Divorced,Male,Yes,9.88,14.0,0.0,0.0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Mailed Check,2.6,232.54,721.85,2,1,2,2,5,1,2,3
1045,S80319,3b760d67-c072-49d9-83e8-b44b6cd8b1f6,Morrow,AR,Washington,72749,35.86742,-94.43688,122.0,Suburban,America/Chicago,Charity fundraiser,5.0,78.0,"Some College, Less than 1 Year",Part Time,22247.54,Separated,Male,Yes,36.56,8.0,0.0,0.0,,Month-to-month,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,Yes,Mailed Check,21.66,212.65,1674.08,4,4,3,2,3,3,3,4
1046,Z550529,1e1ab76f-02f9-43da-9f18-49e0551089ba,Fordyce,AR,Dallas,71742,33.84887,-92.45283,5401.0,Urban,America/Chicago,"Engineer, maintenance",4.0,41.0,"9th Grade to 12th Grade, No Diploma",Student,36486.42,Separated,Male,Yes,14.32,11.0,1.0,0.0,No,Month-to-month,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Yes,No,No,Bank Transfer(automatic),13.38,186.91,2155.0,3,4,3,3,4,5,4,4
1047,U286430,c309860e-1f9e-440e-bbbf-3f7162e1995c,Bay Springs,MS,Jasper,39422,31.96057,-89.25948,4793.0,Rural,America/Chicago,Garment/textile technologist,1.0,38.0,Bachelor's Degree,Part Time,4109.71,Married,Male,No,36.28,16.0,1.0,0.0,Yes,One year,Yes,No,Fiber Optic,,No,Yes,Yes,Yes,Yes,Yes,No,No,Electronic Check,4.49,215.54,1088.79,4,3,3,3,5,4,3,5
1048,W487861,ebf4ccf6-7e09-4712-988e-133c79cc45b9,Westville,OK,Adair,74965,35.99871,-94.62548,5055.0,Urban,America/Chicago,Arts administrator,0.0,19.0,"Some College, 1 or More Years, No Degree",Unemployed,86396.3,Separated,Female,Yes,11.65,17.0,0.0,0.0,No,Month-to-month,Yes,Yes,None,Yes,Yes,Yes,No,No,No,No,No,Yes,Credit Card (automatic),7.9,114.42,892.02,1,1,3,3,2,3,3,5
1049,S274767,007adef6-f53c-4a0d-a711-9f6e0b1caac6,Silverton,OR,Marion,97381,44.97268,-122.74573,15822.0,Urban,America/Los_Angeles,Medical illustrator,4.0,28.0,Regular High School Diploma,Full Time,1443.16,Separated,Female,No,9.61,15.0,0.0,1.0,No,Month-to-month,Yes,Yes,None,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Bank Transfer(automatic),2.02,142.78,756.28,4,3,4,4,4,2,4,4
1050,H722182,7b3ad0f4-a57b-49d7-a2c8-336a1a55c01a,Pierceton,IN,Kosciusko,46562,41.2105,-85.69774,5295.0,Urban,America/Indiana/Indianapolis,Statistician,0.0,74.0,Regular High School Diploma,Full Time,17782.67,Separated,Female,No,10.49,12.0,1.0,0.0,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,Yes,No,Yes,No,No,No,Electronic Check,9.72,148.29,811.34,5,4,4,3,5,4,3,3
1051,Z135438,1124e533-5383-4b86-89c5-fbb2dd6c42d0,Oceanside,OR,Tillamook,97134,45.45734,-123.96575,175.0,Rural,America/Los_Angeles,Orthoptist,1.0,19.0,Bachelor's Degree,Full Time,89527.4,Married,Female,No,13.88,8.0,1.0,0.0,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,No,No,No,No,No,Bank Transfer(automatic),18.05,91.61,2020.5,5,5,5,5,3,3,3,4
1052,S859045,17629075-ca8f-4503-b130-5457993f1218,Sellersburg,IN,Clark,47172,38.39885,-85.76864,17806.0,Urban,America/Kentucky/Louisville,Claims inspector/assessor,2.0,42.0,Master's Degree,Full Time,5387.61,Widowed,Female,No,11.87,6.0,1.0,0.0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,No,Bank Transfer(automatic),8.7,180.01,955.78,5,4,4,4,3,4,5,6
1053,A125688,721d0e38-1a58-4f12-bc0c-05fb9ead7f81,Sabina,OH,Clinton,45169,39.50061,-83.64981,4513.0,Suburban,America/New_York,Local government officer,3.0,73.0,"Some College, 1 or More Years, No Degree",Full Time,10842.41,Married,Female,Yes,11.13,13.0,1.0,0.0,,Two Year,No,No,DSL,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,No,Mailed Check,9.44,269.01,1808.37,1,2,1,3,3,3,3,3
1054,O444447,09df1970-d7f3-4f42-9a2e-24ca554e24e9,Lawrence,KS,Douglas,66049,38.9824,-95.34463,30809.0,Rural,America/Chicago,"Engineer, electronics",0.0,22.0,Nursery School to 8th Grade,Full Time,30185.46,Divorced,Male,Yes,9.07,15.0,2.0,1.0,No,One year,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Mailed Check,5.9,267.51,1743.93,3,3,3,3,3,4,4,3
1055,M183563,ba5de11f-cfc0-4653-a36b-76d09c45d9fa,Whaleyville,MD,Worcester,21872,38.41936,-75.29454,516.0,Suburban,America/New_York,Horticultural therapist,0.0,30.0,Bachelor's Degree,Unemployed,71322.77,Divorced,Male,No,8.64,15.0,1.0,0.0,Yes,Month-to-month,Yes,No,None,Yes,No,No,No,No,Yes,No,No,Yes,Mailed Check,4.93,93.4,551.69,3,3,3,4,3,3,5,3
1056,V891124,e8df69f4-ee85-4264-96ca-54b74e7d697d,Tulsa,OK,Tulsa,74127,36.17895,-96.04534,15724.0,Rural,America/Chicago,Community pharmacist,1.0,85.0,"9th Grade to 12th Grade, No Diploma",Student,25434.15,Never Married,Female,Yes,7.84,11.0,0.0,0.0,,Month-to-month,No,No,Fiber Optic,,No,No,No,Yes,Yes,Yes,Yes,No,Mailed Check,8.71,232.17,1141.53,3,3,3,4,2,3,3,4
1057,E249577,49fc7195-55ae-49f0-80c1-249fd01cf690,Williston,VT,Chittenden,5495,44.42935,-73.09246,10148.0,Rural,America/New_York,Airline pilot,1.0,82.0,"Some College, Less than 1 Year",Full Time,30997.85,Widowed,Male,Yes,9.55,10.0,0.0,1.0,,Month-to-month,Yes,Yes,None,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Credit Card (automatic),13.0,171.35,1485.19,3,3,3,2,4,3,2,4
1058,U784168,5d91dc9a-b978-4166-9571-404fa1f43948,Saint Paul,MN,Ramsey,55102,44.93189,-93.1216,18346.0,Rural,America/Chicago,Print production planner,0.0,76.0,Regular High School Diploma,Full Time,37114.96,Separated,Female,No,7.69,10.0,0.0,0.0,No,One year,No,No,Fiber Optic,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Electronic Check,14.46,233.44,1911.78,3,4,5,2,4,4,4,4
1059,Z655607,e80ebe82-109b-4c72-8119-fb1a4a61e760,Booneville,IA,Dallas,50038,41.52341,-93.90279,86.0,Rural,America/Chicago,Immigration officer,4.0,83.0,"9th Grade to 12th Grade, No Diploma",Student,36472.91,Married,Male,No,12.03,13.0,1.0,0.0,No,One year,No,No,None,No,No,No,No,No,No,No,No,No,Mailed Check,5.84,81.73,571.1,2,3,3,4,4,4,4,3
1060,I119237,b585d4e1-0901-46a6-9e29-66a965d35e79,Maud,OK,Pottawatomie,74854,35.10615,-96.74676,1983.0,Rural,America/Chicago,Clinical psychologist,2.0,41.0,Regular High School Diploma,Unemployed,18299.5,Divorced,Male,Yes,12.55,15.0,0.0,1.0,Yes,Two Year,No,No,DSL,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,10.82,171.67,1705.36,5,5,5,3,2,3,4,5
1061,A782700,36dcf2fe-e6da-4f2a-9a65-15d0aacd2b94,Grosse Tete,LA,Iberville,70740,30.33983,-91.43535,1634.0,Urban,America/Chicago,"Solicitor, Scotland",1.0,30.0,GED or Alternative Credential,Student,24600.9,Separated,Female,No,3.72,17.0,2.0,1.0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Credit Card (automatic),4.76,182.19,821.17,4,4,3,3,2,4,4,4
1062,V544721,9e38167f-ad11-4bfb-8e2e-ce9c73aea136,Indianapolis,IN,Marion,46250,39.9041,-86.06806,19001.0,Urban,America/Indiana/Indianapolis,Commissioning editor,2.0,74.0,"Some College, Less than 1 Year",Retired,60420.05,Divorced,Male,Yes,36.12,15.0,2.0,2.0,No,One year,Yes,No,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Electronic Check,4.06,271.26,913.52,3,2,2,4,2,4,3,4
1063,F195302,32f32011-77b9-4662-9bc3-c2f44867eb32,Bound Brook,NJ,Somerset,8805,40.57163,-74.53695,11974.0,Suburban,America/New_York,Geophysicist/field seismologist,0.0,27.0,"Some College, 1 or More Years, No Degree",Full Time,44447.24,Married,Male,Yes,9.4,14.0,2.0,1.0,,Month-to-month,Yes,Yes,None,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Bank Transfer(automatic),9.88,128.25,1114.02,4,4,4,6,3,3,3,4
1064,U531334,d41120fb-0564-46e1-9f40-f54be0c20727,Peach Creek,WV,Logan,25639,37.8892,-81.95943,344.0,Rural,America/New_York,Publishing copy,2.0,48.0,"Some College, 1 or More Years, No Degree",Full Time,16754.46,Married,Female,No,9.12,17.0,1.0,2.0,Yes,One year,Yes,No,None,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Electronic Check,1.02,159.18,286.55,4,4,4,3,5,3,2,3
1065,J345644,425e9971-23e4-4cb6-a829-1148a5f267b2,Ocean City,NJ,Cape May,8226,39.26859,-74.60158,11202.0,Suburban,America/New_York,"Designer, fashion/clothing",0.0,66.0,Regular High School Diploma,Full Time,33663.55,Separated,Male,No,7.99,12.0,1.0,1.0,,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Mailed Check,8.94,184.78,1171.82,3,2,4,3,4,2,3,5
1066,E43004,ec7a9e4d-c8ad-47bb-97ae-d3d90e56191a,Vader,WA,Lewis,98593,46.40794,-123.0055,1418.0,Rural,America/Los_Angeles,Academic librarian,0.0,44.0,Associate's Degree,Full Time,66725.33,Widowed,Female,Yes,9.11,11.0,1.0,1.0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,No,No,Yes,No,No,Yes,Mailed Check,4.19,156.38,437.88,5,4,4,1,4,3,4,4
1067,I664660,2e58ad30-d89a-4c52-aa52-4d24e2c8e695,Lakeport,CA,Lake,95453,39.0456,-122.9373,11092.0,Suburban,America/Los_Angeles,Armed forces training and education officer,1.0,56.0,Bachelor's Degree,Part Time,37236.27,Widowed,Female,No,8.38,11.0,0.0,2.0,No,Two Year,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Yes,No,No,Credit Card (automatic),14.78,162.34,2062.86,4,3,4,3,4,3,4,4
1068,G119666,7ed2e7ee-f490-4f15-87fd-a46ccc5ac313,Brooklyn,MS,Forrest,39425,31.05912,-89.07959,2318.0,Rural,America/Chicago,Associate Professor,4.0,63.0,"9th Grade to 12th Grade, No Diploma",Unemployed,37747.34,Never Married,Female,No,6.67,12.0,2.0,0.0,No,Two Year,Yes,No,Fiber Optic,No,No,Yes,No,No,No,Yes,Yes,Yes,Bank Transfer(automatic),15.25,211.43,1857.75,3,4,4,3,3,4,4,4
1069,U518400,cc120d32-104a-4fe1-82cf-a4a432e5efdf,Acton,MA,Middlesex,1720,42.48417,-71.43805,22684.0,Rural,America/New_York,"Journalist, broadcasting",3.0,51.0,Master's Degree,Full Time,15081.47,Married,Female,Yes,9.34,12.0,0.0,0.0,No,Two Year,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Electronic Check,9.69,200.07,1782.56,4,4,5,5,2,2,4,5
1070,Z461269,841b4406-f513-4bd2-8357-e92a0aec18f6,Granville,IL,Putnam,61326,41.25385,-89.22434,2297.0,Rural,America/Chicago,Garment/textile technologist,3.0,27.0,Master's Degree,Retired,20372.35,Married,Prefer not to answer,No,14.86,16.0,2.0,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,No,No,No,No,No,Mailed Check,4.22,144.99,1109.35,3,3,2,3,4,3,2,5
1071,P456447,550e82d0-fc14-4e8e-b16f-c5ed7ba9e8de,Grasonville,MD,Queen Anne's,21638,38.94478,-76.20268,5210.0,Urban,America/New_York,Computer games developer,2.0,44.0,Regular High School Diploma,Full Time,15878.23,Married,Female,No,7.73,11.0,0.0,0.0,,Two Year,No,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Bank Transfer(automatic),2.21,164.59,1156.19,3,3,1,4,3,4,3,3
1072,P973504,c9723d21-f38d-454f-bedc-03fda7b32079,Byrdstown,TN,Pickett,38549,36.56081,-85.1516,3761.0,Suburban,America/Chicago,"Teacher, early years/pre",1.0,42.0,Regular High School Diploma,Full Time,70711.36,Widowed,Female,Yes,8.11,13.0,1.0,0.0,No,Month-to-month,No,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Bank Transfer(automatic),28.2,245.04,2001.5,4,4,5,4,2,4,4,5
1073,E267017,69c2c8b5-0a14-4954-99c3-2515294248e0,San Antonio,TX,Comal,78266,29.65386,-98.33056,6633.0,Suburban,America/Chicago,Acupuncturist,4.0,44.0,"Some College, 1 or More Years, No Degree",Full Time,20347.79,Widowed,Female,No,39.07,10.0,0.0,0.0,No,One year,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,Bank Transfer(automatic),1.93,136.16,789.52,5,3,5,3,3,3,4,3
1074,H450608,be2021a1-cb40-4c22-8642-1782f48a2e5f,John Day,OR,Grant,97845,44.40179,-118.90314,2857.0,Suburban,America/Los_Angeles,"Engineer, maintenance",1.0,64.0,"9th Grade to 12th Grade, No Diploma",Unemployed,81748.07,Separated,Female,Yes,11.73,5.0,1.0,0.0,Yes,Month-to-month,No,No,DSL,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Mailed Check,16.64,140.42,1996.64,3,3,2,2,3,2,4,4
1075,K364420,47f78dcd-e457-42c0-bfa5-33059cc6b123,Novato,CA,Marin,94949,38.0653,-122.5384,17452.0,Urban,America/Los_Angeles,Television floor manager,3.0,73.0,Regular High School Diploma,Full Time,19146.42,Widowed,Female,Yes,9.97,12.0,0.0,1.0,No,Two Year,Yes,Yes,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,Credit Card (automatic),4.9,187.07,1284.67,2,3,4,2,4,3,2,4
1076,B490537,943fb5ca-bad9-4494-95ee-1409a4cea6f5,Snowville,UT,Box Elder,84336,41.90958,-112.77879,184.0,Urban,America/Denver,Dealer,5.0,50.0,"9th Grade to 12th Grade, No Diploma",Student,61256.3,Never Married,Female,Yes,10.46,5.0,3.0,0.0,,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,3.22,241.99,951.3,3,2,3,5,3,4,4,5
1077,E396045,230b0be2-d75c-4dd0-8caa-b384e686e8e1,Hamilton,MI,Allegan,49419,42.6789,-85.98101,8402.0,Rural,America/Detroit,Manufacturing engineer,3.0,57.0,Master's Degree,Full Time,74719.96,Divorced,Female,No,34.9,13.0,0.0,0.0,Yes,Month-to-month,No,Yes,None,Yes,Yes,No,Yes,Yes,No,No,No,No,Mailed Check,10.03,175.64,1091.75,3,4,4,4,3,3,4,4
1078,O391114,d2c89636-5756-424d-a399-5ab5685c4ac0,Erwinna,PA,Bucks,18920,40.49613,-75.08428,373.0,Suburban,America/New_York,Charity fundraiser,0.0,69.0,Master's Degree,Full Time,36934.53,Married,Female,No,12.49,14.0,3.0,0.0,No,Month-to-month,No,Yes,None,Yes,No,No,Yes,No,No,No,No,Yes,Bank Transfer(automatic),41.66,101.85,3705.28,2,2,2,4,4,2,3,3
1079,W333236,977e1574-3350-439e-b412-96cdd3250ae6,Winkelman,AZ,Pinal,85192,32.96051,-110.68865,1940.0,Suburban,America/Phoenix,Fish farm manager,6.0,50.0,Regular High School Diploma,Part Time,51529.04,Divorced,Female,No,7.96,13.0,2.0,2.0,,Two Year,Yes,Yes,Fiber Optic,,No,No,Yes,Yes,No,Yes,No,No,Mailed Check,8.55,172.32,765.3,5,4,4,4,3,5,6,4
1080,S231734,22584008-ea1c-4a39-8d91-c72137e2f76e,Serafina,NM,San Miguel,87569,35.3464,-105.30068,460.0,Suburban,America/Denver,Financial planner,0.0,58.0,Master's Degree,Full Time,63745.85,Separated,Female,Yes,12.66,5.0,0.0,0.0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Mailed Check,9.47,217.31,1624.45,3,6,4,2,6,2,3,3
1081,W593299,4dd1603d-eb99-44b1-b2c3-4a10fb22e17d,Seymour,WI,Outagamie,54165,44.51888,-88.32055,7811.0,Urban,America/Chicago,"Scientist, research (medical)",2.0,21.0,Regular High School Diploma,Full Time,28727.43,Married,Female,Yes,41.5,11.0,1.0,0.0,Yes,Month-to-month,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Electronic Check,10.21,170.92,2323.48,3,3,1,2,4,3,4,4
